Frequency (Hz)	Amplitude (MPa)	Phase Angle (deg)	Real (MPa)	Imaginary (MPa)
156.33	1.1168e-006	-82.252	1.5056e-007	-1.1066e-006
158.81	1.0071e-006	-83.304	1.1742e-007	-1.0002e-006
161.32	9.1354e-007	-83.886	9.7301e-008	-9.0835e-007
163.88	8.3062e-007	-84.094	8.5461e-008	-8.2621e-007
166.47	7.5441e-007	-83.933	7.9741e-008	-7.5019e-007
169.11	6.8363e-007	-83.31	7.9642e-008	-6.7898e-007
171.79	6.1258e-007	-83.331	7.1138e-008	-6.0844e-007
174.51	5.2567e-007	-81.248	7.9982e-008	-5.1955e-007
177.27	4.3685e-007	-76.996	9.8301e-008	-4.2565e-007
180.08	3.3689e-007	-66.845	1.3247e-007	-3.0975e-007
182.93	2.5479e-007	-36.039	2.0602e-007	-1.499e-007
185.83	4.1344e-007	13.245	4.0245e-007	9.4729e-008
188.77	1.1702e-006	17.676	1.1149e-006	3.5531e-007
191.76	2.2779e-006	-31.67	1.9386e-006	-1.1959e-006
194.8	1.6733e-006	-68.769	6.0597e-007	-1.5598e-006
197.88	1.2437e-006	-79.493	2.268e-007	-1.2229e-006
201.01	1.0188e-006	-83.474	1.158e-007	-1.0122e-006
204.2	8.7869e-007	-85.295	7.2079e-008	-8.7572e-007
207.43	7.7842e-007	-86.199	5.1598e-008	-7.7671e-007
210.72	6.9883e-007	-86.61	4.1319e-008	-6.976e-007
214.05	6.2992e-007	-86.668	3.6616e-008	-6.2885e-007
217.44	5.6508e-007	-86.353	3.5948e-008	-5.6394e-007
220.88	4.982e-007	-85.437	3.9635e-008	-4.9662e-007
224.38	4.2073e-007	-83.077	5.0712e-008	-4.1767e-007
227.94	3.1753e-007	-75.218	8.1015e-008	-3.0702e-007
231.54	2.2031e-007	-28.271	1.9403e-007	-1.0435e-007
235.21	1.1676e-006	5.1191	1.163e-006	1.0418e-007
238.94	1.2218e-006	-73.723	3.4245e-007	-1.1728e-006
242.72	8.2757e-007	-85.091	7.082e-008	-8.2453e-007
246.56	6.7685e-007	-87.636	2.7921e-008	-6.7628e-007
250.47	5.9016e-007	-88.545	1.4987e-008	-5.8997e-007
254.43	5.2751e-007	-88.935	9.8053e-009	-5.2742e-007
258.46	4.7476e-007	-89.093	7.5166e-009	-4.747e-007
262.55	4.2415e-007	-89.093	6.7144e-009	-4.241e-007
266.71	3.6795e-007	-88.885	7.1601e-009	-3.6788e-007
270.94	2.908e-007	-88.063	9.828e-009	-2.9063e-007
275.23	1.3517e-007	-80.654	2.195e-008	-1.3337e-007
279.58	1.0818e-006	69.67	3.7584e-007	1.0144e-006
284.01	8.9763e-007	-87.903	3.2852e-008	-8.9702e-007
288.51	5.9185e-007	-89.54	4.7529e-009	-5.9183e-007
293.08	4.9495e-007	-89.818	1.5697e-009	-4.9494e-007
297.72	4.4051e-007	-89.907	7.164e-010	-4.4051e-007
