Freq(hertz)	Ze(ohms)	ZePhase(deg)
7196.86 	99.59   	86.55   
7300.52 	101.02  	86.59   
7405.68 	102.47  	86.64   
7512.36 	103.94  	86.69   
7620.57 	105.44  	86.74   
7730.34 	106.96  	86.78   
7841.69 	108.49  	86.83   
7954.65 	110.05  	86.87   
8069.23 	111.63  	86.92   
8185.47 	113.24  	86.96   
8303.38 	114.87  	87.01   
8422.98 	116.52  	87.05   
8544.31 	118.20  	87.09   
8667.39 	119.90  	87.13   
8792.24 	121.62  	87.17   
8918.88 	123.37  	87.21   
9047.36 	125.14  	87.25   
9177.68 	126.95  	87.29   
9309.88 	128.77  	87.33   
9443.98 	130.62  	87.37   
9580.02 	132.50  	87.40   
9718.02 	134.41  	87.44   
9858.00 	136.34  	87.48   
10000.00	138.31  	87.51   
10144.05	140.30  	87.55   
10290.17	142.31  	87.58   
10438.39	144.36  	87.62   
10588.75	146.44  	87.65   
10741.28	148.55  	87.69   
10896.00	150.68  	87.72   
11052.95	152.85  	87.75   
11212.16	155.05  	87.78   
11373.67	157.28  	87.81   
11537.50	159.55  	87.84   
11703.69	161.84  	87.88   
11872.28	164.17  	87.91   
12043.30	166.53  	87.94   
12216.77	168.93  	87.96   
12392.75	171.37  	87.99   
12571.26	173.83  	88.02   
12752.35	176.33  	88.05   
12936.04	178.87  	88.08   
13122.37	181.45  	88.11   
13311.40	184.06  	88.13   
13503.14	186.71  	88.16   
13697.65	189.40  	88.18   
13894.95	192.12  	88.21   
14095.11	194.89  	88.24   
14298.14	197.70  	88.26   
14504.10	200.54  	88.29   
14713.02	203.43  	88.31   
14924.96	206.36  	88.33   
15139.94	209.33  	88.36   
15358.03	212.34  	88.38   
15579.25	215.40  	88.40   
15803.66	218.50  	88.43   
16031.31	221.65  	88.45   
16262.23	224.84  	88.47   
16496.48	228.08  	88.49   
16734.10	231.36  	88.51   
16975.15	234.69  	88.54   
17219.67	238.07  	88.56   
17467.71	241.50  	88.58   
17719.33	244.98  	88.60   
17974.56	248.50  	88.62   
18233.48	252.08  	88.64   
18496.12	255.71  	88.66   
18762.55	259.40  	88.67   
19032.82	263.13  	88.69   
19306.98	266.92  	88.71   
19585.09	270.76  	88.73   
19867.20	274.66  	88.75   
20000.00	276.50  	88.76   
