Frequency (Hz)	Amplitude (MPa)	Phase Angle (deg)	Real (MPa)	Imaginary (MPa)
47.593	6.7357e-007	91.391	-1.6355e-008	6.7337e-007
47.968	6.5738e-007	91.392	-1.5966e-008	6.5719e-007
48.345	6.4179e-007	91.393	-1.5599e-008	6.416e-007
48.726	6.2675e-007	91.394	-1.5252e-008	6.2657e-007
49.109	6.1225e-007	91.397	-1.4925e-008	6.1207e-007
49.496	5.9824e-007	91.4	-1.4615e-008	5.9806e-007
49.885	5.847e-007	91.404	-1.4322e-008	5.8452e-007
50.278	5.716e-007	91.408	-1.4045e-008	5.7143e-007
50.674	5.5893e-007	91.413	-1.3782e-008	5.5876e-007
51.073	5.4666e-007	91.419	-1.3533e-008	5.4649e-007
51.475	5.3476e-007	91.425	-1.3297e-008	5.346e-007
51.88	5.2322e-007	91.432	-1.3072e-008	5.2306e-007
52.288	5.1203e-007	91.439	-1.2859e-008	5.1186e-007
52.7	5.0115e-007	91.447	-1.2657e-008	5.0099e-007
53.114	4.9059e-007	91.456	-1.2465e-008	4.9043e-007
53.532	4.8032e-007	91.465	-1.2283e-008	4.8016e-007
53.954	4.7033e-007	91.475	-1.2109e-008	4.7017e-007
54.378	4.606e-007	91.486	-1.1945e-008	4.6045e-007
54.806	4.5113e-007	91.497	-1.1788e-008	4.5098e-007
55.238	4.419e-007	91.509	-1.1639e-008	4.4175e-007
55.672	4.3291e-007	91.522	-1.1498e-008	4.3276e-007
56.111	4.2413e-007	91.535	-1.1364e-008	4.2398e-007
56.552	4.1557e-007	91.549	-1.1236e-008	4.1542e-007
56.997	4.0721e-007	91.564	-1.1115e-008	4.0706e-007
57.446	3.9904e-007	91.58	-1.1e-008	3.9889e-007
57.898	3.9106e-007	91.596	-1.0891e-008	3.9091e-007
58.354	3.8326e-007	91.613	-1.0788e-008	3.8311e-007
58.813	3.7563e-007	91.631	-1.069e-008	3.7548e-007
59.276	3.6816e-007	91.649	-1.0597e-008	3.6801e-007
59.742	3.6085e-007	91.669	-1.051e-008	3.607e-007
60.213	3.5369e-007	91.689	-1.0427e-008	3.5354e-007
60.687	3.4667e-007	91.711	-1.0349e-008	3.4652e-007
61.164	3.398e-007	91.733	-1.0276e-008	3.3964e-007
61.646	3.3305e-007	91.756	-1.0207e-008	3.329e-007
62.131	3.2644e-007	91.78	-1.0142e-008	3.2628e-007
62.62	3.1994e-007	91.806	-1.0081e-008	3.1979e-007
63.113	3.1357e-007	91.832	-1.0024e-008	3.1341e-007
63.609	3.0731e-007	91.859	-9.9718e-009	3.0715e-007
64.11	3.0116e-007	91.888	-9.923e-009	3.01e-007
64.615	2.9512e-007	91.918	-9.8779e-009	2.9495e-007
65.123	2.8917e-007	91.949	-9.8364e-009	2.8901e-007
65.636	2.8333e-007	91.982	-9.7986e-009	2.8316e-007
66.152	2.7758e-007	92.016	-9.7642e-009	2.7741e-007
66.673	2.7192e-007	92.051	-9.7333e-009	2.7174e-007
67.198	2.6634e-007	92.088	-9.7058e-009	2.6617e-007
67.727	2.6085e-007	92.127	-9.6817e-009	2.6067e-007
68.26	2.5545e-007	92.167	-9.6608e-009	2.5526e-007
68.797	2.5012e-007	92.21	-9.6432e-009	2.4993e-007
69.338	2.4486e-007	92.254	-9.6289e-009	2.4467e-007
69.884	2.3968e-007	92.3	-9.6177e-009	2.3949e-007
