Frequency (Hz)	Amplitude (MPa)	Phase Angle (deg)	Real (MPa)	Imaginary (MPa)
47.968	1.0541e-007	82.09	1.4507e-008	1.0441e-007
48.345	1.0547e-007	82.067	1.4557e-008	1.0446e-007
48.726	1.0556e-007	82.043	1.4613e-008	1.0454e-007
49.109	1.0566e-007	82.018	1.4673e-008	1.0464e-007
49.496	1.058e-007	81.992	1.4738e-008	1.0477e-007
49.885	1.0595e-007	81.966	1.4808e-008	1.0491e-007
50.278	1.0613e-007	81.939	1.4883e-008	1.0509e-007
50.674	1.0634e-007	81.911	1.4962e-008	1.0528e-007
51.073	1.0656e-007	81.882	1.5046e-008	1.0549e-007
51.475	1.068e-007	81.853	1.5135e-008	1.0572e-007
51.88	1.0706e-007	81.823	1.5227e-008	1.0597e-007
52.288	1.0734e-007	81.792	1.5325e-008	1.0624e-007
52.7	1.0764e-007	81.76	1.5426e-008	1.0653e-007
53.114	1.0796e-007	81.728	1.5532e-008	1.0683e-007
53.532	1.0829e-007	81.695	1.5642e-008	1.0715e-007
53.954	1.0864e-007	81.661	1.5757e-008	1.0749e-007
54.378	1.0901e-007	81.626	1.5876e-008	1.0784e-007
54.806	1.0939e-007	81.59	1.5999e-008	1.0821e-007
55.238	1.0979e-007	81.554	1.6126e-008	1.086e-007
55.672	1.102e-007	81.516	1.6258e-008	1.09e-007
56.111	1.1063e-007	81.478	1.6394e-008	1.0941e-007
56.552	1.1107e-007	81.439	1.6534e-008	1.0984e-007
56.997	1.1153e-007	81.399	1.6679e-008	1.1028e-007
57.446	1.12e-007	81.359	1.6828e-008	1.1073e-007
57.898	1.1249e-007	81.317	1.6981e-008	1.112e-007
58.354	1.1299e-007	81.275	1.7139e-008	1.1168e-007
58.813	1.135e-007	81.232	1.7301e-008	1.1217e-007
59.276	1.1403e-007	81.188	1.7468e-008	1.1268e-007
59.742	1.1456e-007	81.143	1.7639e-008	1.132e-007
60.213	1.1512e-007	81.097	1.7815e-008	1.1373e-007
60.687	1.1568e-007	81.05	1.7996e-008	1.1427e-007
61.164	1.1626e-007	81.003	1.8181e-008	1.1483e-007
61.646	1.1685e-007	80.954	1.8371e-008	1.1539e-007
62.131	1.1745e-007	80.905	1.8566e-008	1.1597e-007
62.62	1.1806e-007	80.854	1.8766e-008	1.1656e-007
63.113	1.1869e-007	80.803	1.8971e-008	1.1717e-007
63.609	1.1933e-007	80.75	1.9181e-008	1.1778e-007
64.11	1.1998e-007	80.697	1.9396e-008	1.184e-007
64.615	1.2064e-007	80.643	1.9616e-008	1.1904e-007
65.123	1.2132e-007	80.587	1.9841e-008	1.1968e-007
65.636	1.22e-007	80.531	2.0072e-008	1.2034e-007
66.152	1.227e-007	80.473	2.0308e-008	1.2101e-007
66.673	1.2341e-007	80.415	2.055e-008	1.2169e-007
67.198	1.2413e-007	80.355	2.0798e-008	1.2238e-007
67.727	1.2487e-007	80.294	2.1051e-008	1.2308e-007
68.26	1.2561e-007	80.232	2.131e-008	1.2379e-007
68.797	1.2637e-007	80.169	2.1576e-008	1.2451e-007
69.338	1.2714e-007	80.105	2.1847e-008	1.2525e-007
69.884	1.2792e-007	80.04	2.2125e-008	1.2599e-007
70.434	1.2871e-007	79.973	2.2408e-008	1.2674e-007
70.988	1.2951e-007	79.906	2.2699e-008	1.2751e-007
71.547	1.3032e-007	79.837	2.2996e-008	1.2828e-007
72.11	1.3115e-007	79.767	2.33e-008	1.2906e-007
72.678	1.3199e-007	79.695	2.3611e-008	1.2986e-007
73.25	1.3284e-007	79.622	2.3929e-008	1.3066e-007
73.826	1.337e-007	79.548	2.4254e-008	1.3148e-007
74.407	1.3457e-007	79.473	2.4586e-008	1.3231e-007
74.993	1.3545e-007	79.396	2.4926e-008	1.3314e-007
75.583	1.3635e-007	79.318	2.5274e-008	1.3399e-007
76.178	1.3726e-007	79.238	2.5629e-008	1.3484e-007
76.778	1.3818e-007	79.157	2.5993e-008	1.3571e-007
77.382	1.3911e-007	79.075	2.6365e-008	1.3659e-007
77.991	1.4005e-007	78.991	2.6745e-008	1.3747e-007
78.605	1.4101e-007	78.905	2.7134e-008	1.3837e-007
79.223	1.4197e-007	78.818	2.7532e-008	1.3928e-007
79.847	1.4295e-007	78.729	2.7939e-008	1.4019e-007
80.475	1.4394e-007	78.639	2.8355e-008	1.4112e-007
81.109	1.4494e-007	78.547	2.8781e-008	1.4206e-007
81.747	1.4596e-007	78.453	2.9216e-008	1.4301e-007
82.391	1.4699e-007	78.358	2.9661e-008	1.4396e-007
83.039	1.4802e-007	78.261	3.0116e-008	1.4493e-007
83.693	1.4908e-007	78.162	3.0582e-008	1.4591e-007
84.351	1.5014e-007	78.062	3.1058e-008	1.4689e-007
85.015	1.5122e-007	77.959	3.1545e-008	1.4789e-007
85.684	1.523e-007	77.855	3.2044e-008	1.4889e-007
86.359	1.534e-007	77.748	3.2553e-008	1.4991e-007
87.038	1.5452e-007	77.64	3.3075e-008	1.5094e-007
87.723	1.5564e-007	77.53	3.3608e-008	1.5197e-007
88.414	1.5678e-007	77.418	3.4154e-008	1.5302e-007
89.11	1.5793e-007	77.303	3.4712e-008	1.5407e-007
89.811	1.591e-007	77.187	3.5284e-008	1.5514e-007
90.518	1.6028e-007	77.068	3.5868e-008	1.5621e-007
91.23	1.6147e-007	76.947	3.6466e-008	1.5729e-007
91.948	1.6267e-007	76.824	3.7078e-008	1.5839e-007
92.672	1.6388e-007	76.699	3.7704e-008	1.5949e-007
93.401	1.6511e-007	76.572	3.8344e-008	1.606e-007
94.137	1.6636e-007	76.442	3.9e-008	1.6172e-007
94.877	1.6761e-007	76.309	3.9671e-008	1.6285e-007
95.624	1.6888e-007	76.174	4.0357e-008	1.6399e-007
96.377	1.7016e-007	76.037	4.106e-008	1.6514e-007
97.135	1.7146e-007	75.897	4.1779e-008	1.6629e-007
97.9	1.7277e-007	75.754	4.2515e-008	1.6746e-007
98.67	1.7409e-007	75.609	4.3269e-008	1.6863e-007
99.447	1.7543e-007	75.461	4.404e-008	1.6981e-007
100.23	1.7678e-007	75.31	4.483e-008	1.71e-007
101.02	1.7815e-007	75.156	4.5638e-008	1.722e-007
101.81	1.7953e-007	75.	4.6466e-008	1.7341e-007
102.61	1.8092e-007	74.84	4.7314e-008	1.7463e-007
103.42	1.8233e-007	74.677	4.8182e-008	1.7585e-007
104.24	1.8376e-007	74.512	4.9071e-008	1.7708e-007
105.06	1.8519e-007	74.342	4.9982e-008	1.7832e-007
105.88	1.8665e-007	74.17	5.0915e-008	1.7957e-007
106.72	1.8812e-007	73.994	5.1871e-008	1.8082e-007
107.56	1.896e-007	73.815	5.2851e-008	1.8209e-007
108.4	1.911e-007	73.632	5.3855e-008	1.8336e-007
109.26	1.9262e-007	73.445	5.4884e-008	1.8463e-007
110.12	1.9415e-007	73.254	5.5939e-008	1.8591e-007
110.98	1.957e-007	73.06	5.7021e-008	1.872e-007
111.86	1.9726e-007	72.861	5.813e-008	1.885e-007
112.74	1.9884e-007	72.658	5.9269e-008	1.898e-007
113.62	2.0044e-007	72.451	6.0437e-008	1.9111e-007
114.52	2.0206e-007	72.239	6.1636e-008	1.9242e-007
115.42	2.0369e-007	72.023	6.2867e-008	1.9374e-007
116.33	2.0534e-007	71.801	6.4131e-008	1.9507e-007
117.24	2.0701e-007	71.575	6.543e-008	1.964e-007
118.17	2.087e-007	71.343	6.6765e-008	1.9773e-007
119.1	2.1041e-007	71.105	6.8138e-008	1.9907e-007
120.03	2.1214e-007	70.862	6.955e-008	2.0042e-007
120.98	2.1389e-007	70.612	7.1003e-008	2.0176e-007
121.93	2.1567e-007	70.356	7.25e-008	2.0311e-007
122.89	2.1746e-007	70.093	7.4043e-008	2.0447e-007
123.86	2.1928e-007	69.823	7.5633e-008	2.0582e-007
124.83	2.2112e-007	69.546	7.7273e-008	2.0718e-007
125.82	2.2299e-007	69.26	7.8967e-008	2.0854e-007
126.81	2.2488e-007	68.965	8.0718e-008	2.099e-007
127.8	2.268e-007	68.661	8.2528e-008	2.1125e-007
128.81	2.2875e-007	68.348	8.4403e-008	2.1261e-007
129.82	2.3073e-007	68.024	8.6345e-008	2.1396e-007
130.85	2.3274e-007	67.688	8.836e-008	2.1531e-007
131.88	2.3478e-007	67.34	9.0453e-008	2.1666e-007
132.91	2.3686e-007	66.979	9.263e-008	2.18e-007
133.96	2.3897e-007	66.603	9.4897e-008	2.1932e-007
135.01	2.4113e-007	66.211	9.7262e-008	2.2064e-007
136.08	2.4332e-007	65.803	9.9733e-008	2.2194e-007
137.15	2.4556e-007	65.375	1.0232e-007	2.2323e-007
138.23	2.4784e-007	64.927	1.0503e-007	2.2449e-007
139.31	2.5018e-007	64.455	1.0788e-007	2.2572e-007
140.41	2.5257e-007	63.959	1.1088e-007	2.2692e-007
141.52	2.5501e-007	63.434	1.1405e-007	2.2808e-007
142.63	2.5751e-007	62.877	1.174e-007	2.2919e-007
143.75	2.6008e-007	62.285	1.2096e-007	2.3024e-007
144.88	2.6272e-007	61.653	1.2474e-007	2.3121e-007
146.02	2.6543e-007	60.975	1.2878e-007	2.3209e-007
147.17	2.6822e-007	60.246	1.3311e-007	2.3286e-007
148.33	2.7109e-007	59.458	1.3776e-007	2.3347e-007
149.5	2.7404e-007	58.601	1.4278e-007	2.3391e-007
150.68	2.7709e-007	57.665	1.4821e-007	2.3413e-007
151.86	2.8023e-007	56.637	1.5411e-007	2.3405e-007
153.06	2.8346e-007	55.499	1.6056e-007	2.3361e-007
154.26	2.8678e-007	54.232	1.6762e-007	2.3269e-007
155.48	2.9017e-007	52.811	1.7539e-007	2.3116e-007
156.7	2.936e-007	51.203	1.8396e-007	2.2882e-007
157.93	2.9702e-007	49.368	1.9342e-007	2.2541e-007
159.18	3.0036e-007	47.252	2.0388e-007	2.2056e-007
160.43	3.0346e-007	44.787	2.1537e-007	2.1378e-007
161.69	3.0609e-007	41.884	2.2788e-007	2.0435e-007
162.96	3.0784e-007	38.425	2.4117e-007	1.9132e-007
164.25	3.0805e-007	34.26	2.546e-007	1.7341e-007
165.54	3.0561e-007	29.196	2.6679e-007	1.4908e-007
166.84	2.9879e-007	23.01	2.7502e-007	1.168e-007
168.16	2.8503e-007	15.477	2.7469e-007	7.6061e-008
169.48	2.6112e-007	6.4701	2.5945e-007	2.9424e-008
170.81	2.2431e-007	-3.8653	2.238e-007	-1.5121e-008
172.16	1.7462e-007	-14.898	1.6875e-007	-4.4895e-008
173.51	1.1653e-007	-25.354	1.053e-007	-4.9898e-008
174.88	5.749e-008	-32.417	4.8531e-008	-3.0819e-008
176.25	8.0774e-009	19.733	7.603e-009	2.7272e-009
177.64	4.3774e-008	112.62	-1.6835e-008	4.0407e-008
179.04	8.1112e-008	110.67	-2.8628e-008	7.5892e-008
180.45	1.1144e-007	106.78	-3.2167e-008	1.067e-007
181.87	1.3605e-007	103.09	-3.0815e-008	1.3251e-007
