Frequency (Hz)	Amplitude (MPa)	Phase Angle (deg)	Real (MPa)	Imaginary (MPa)
311.93	3.5094e-007	52.784	2.1225e-007	2.7947e-007
315.26	3.5378e-007	52.405	2.1583e-007	2.8031e-007
318.62	3.5662e-007	52.023	2.1944e-007	2.8111e-007
322.02	3.5947e-007	51.638	2.231e-007	2.8186e-007
325.46	3.6232e-007	51.249	2.2679e-007	2.8256e-007
328.94	3.6518e-007	50.856	2.3052e-007	2.8322e-007
332.45	3.6803e-007	50.46	2.3429e-007	2.8382e-007
336.	3.7089e-007	50.061	2.381e-007	2.8437e-007
339.58	3.7374e-007	49.658	2.4194e-007	2.8487e-007
343.21	3.766e-007	49.251	2.4582e-007	2.853e-007
346.87	3.7945e-007	48.841	2.4974e-007	2.8568e-007
350.57	3.823e-007	48.427	2.5369e-007	2.86e-007
354.32	3.8515e-007	48.009	2.5767e-007	2.8626e-007
358.1	3.8799e-007	47.587	2.6169e-007	2.8646e-007
361.92	3.9083e-007	47.162	2.6573e-007	2.8658e-007
365.78	3.9365e-007	46.732	2.6981e-007	2.8664e-007
369.69	3.9647e-007	46.299	2.7392e-007	2.8663e-007
373.63	3.9927e-007	45.862	2.7805e-007	2.8654e-007
377.62	4.0206e-007	45.421	2.822e-007	2.8638e-007
381.65	4.0484e-007	44.977	2.8638e-007	2.8615e-007
385.73	4.076e-007	44.529	2.9058e-007	2.8584e-007
389.85	4.1035e-007	44.077	2.948e-007	2.8545e-007
394.01	4.1307e-007	43.621	2.9903e-007	2.8497e-007
398.21	4.1578e-007	43.162	3.0328e-007	2.8442e-007
402.46	4.1846e-007	42.7	3.0753e-007	2.8378e-007
406.76	4.2112e-007	42.234	3.118e-007	2.8306e-007
411.1	4.2376e-007	41.765	3.1607e-007	2.8226e-007
415.49	4.2637e-007	41.293	3.2035e-007	2.8137e-007
419.92	4.2896e-007	40.818	3.2463e-007	2.8039e-007
424.41	4.3152e-007	40.34	3.2891e-007	2.7933e-007
428.94	4.3405e-007	39.859	3.3319e-007	2.7818e-007
433.52	4.3655e-007	39.375	3.3746e-007	2.7694e-007
438.14	4.3903e-007	38.887	3.4173e-007	2.7562e-007
442.82	4.4147e-007	38.397	3.4599e-007	2.742e-007
447.55	4.4388e-007	37.903	3.5025e-007	2.7269e-007
452.32	4.4626e-007	37.406	3.5449e-007	2.7109e-007
457.15	4.4861e-007	36.906	3.5872e-007	2.6939e-007
462.03	4.5092e-007	36.402	3.6293e-007	2.676e-007
466.96	4.5319e-007	35.895	3.6712e-007	2.6571e-007
471.95	4.5542e-007	35.384	3.7129e-007	2.6371e-007
476.99	4.576e-007	34.87	3.7544e-007	2.6162e-007
482.08	4.5974e-007	34.352	3.7955e-007	2.5942e-007
487.22	4.6182e-007	33.83	3.8363e-007	2.5711e-007
492.43	4.6385e-007	33.305	3.8767e-007	2.547e-007
