Frequency (Hz)	Amplitude (MPa)	Phase Angle (deg)	Real (MPa)	Imaginary (MPa)
595.8	2.1611e-008	59.308	1.1031e-008	1.8583e-008
606.92	1.8789e-008	40.048	1.4383e-008	1.2089e-008
618.25	1.6802e-008	21.927	1.5587e-008	6.2744e-009
629.79	1.5421e-008	4.2617	1.5379e-008	1.146e-009
641.55	1.4477e-008	-13.452	1.4079e-008	-3.3678e-009
653.52	1.3834e-008	-31.665	1.1774e-008	-7.2622e-009
665.72	1.3354e-008	-50.894	8.4232e-009	-1.0362e-008
678.15	1.2817e-008	-71.877	3.9869e-009	-1.2182e-008
690.81	1.1743e-008	-95.835	-1.1938e-009	-1.1682e-008
703.7	8.9588e-009	-124.81	-5.1142e-009	-7.3556e-009
716.84	2.0688e-009	-161.27	-1.9592e-009	-6.6426e-010
730.22	1.0708e-008	-24.065	9.7773e-009	-4.3664e-009
743.85	2.6938e-008	-65.351	1.1235e-008	-2.4483e-008
757.74	4.6906e-008	-101.05	-8.9866e-009	-4.6037e-008
771.88	8.0598e-008	-134.33	-5.6323e-008	-5.7652e-008
786.29	1.631e-007	-173.79	-1.6214e-007	-1.7644e-008
800.97	3.5639e-007	107.56	-1.0751e-007	3.3978e-007
815.92	2.4167e-007	25.012	2.19e-007	1.0218e-007
831.15	1.7191e-007	-15.651	1.6553e-007	-4.6378e-008
846.66	1.5688e-007	-49.257	1.0239e-007	-1.1886e-007
862.47	1.6951e-007	-85.653	1.2849e-008	-1.6902e-007
878.57	1.9843e-007	-132.41	-1.3383e-007	-1.4651e-007
894.97	1.9586e-007	168.39	-1.9186e-007	3.9406e-008
911.67	1.4693e-007	114.56	-6.1063e-008	1.3364e-007
928.69	1.0796e-007	71.852	3.3628e-008	1.0259e-007
946.03	8.5971e-008	33.012	7.2091e-008	4.6838e-008
963.69	7.287e-008	-8.1146	7.2141e-008	-1.0286e-008
981.68	5.978e-008	-56.534	3.2965e-008	-4.987e-008
1000.	3.8509e-008	-111.34	-1.4016e-008	-3.5868e-008
