Freq (hertz)	SPL (dB)	WPhase (deg)
7730.34 	73.49   	-86.39  
7841.69 	73.36   	-86.44  
7954.65 	73.23   	-86.50  
8069.23 	73.11   	-86.55  
8185.47 	72.98   	-86.60  
8303.38 	72.85   	-86.64  
8422.98 	72.73   	-86.69  
8544.31 	72.60   	-86.74  
8667.39 	72.47   	-86.78  
8792.24 	72.34   	-86.83  
8918.88 	72.22   	-86.88  
9047.36 	72.09   	-86.92  
9177.68 	71.96   	-86.96  
9309.88 	71.83   	-87.01  
9443.98 	71.70   	-87.05  
9580.02 	71.58   	-87.09  
9718.02 	71.45   	-87.13  
9858.00 	71.32   	-87.17  
10000.00	71.19   	-87.21  
10144.05	71.06   	-87.25  
10290.17	70.93   	-87.29  
10438.39	70.80   	-87.33  
10588.75	70.68   	-87.37  
10741.28	70.55   	-87.41  
10896.00	70.42   	-87.44  
11052.95	70.29   	-87.48  
11212.16	70.16   	-87.51  
11373.67	70.03   	-87.55  
11537.50	69.90   	-87.58  
11703.69	69.77   	-87.62  
11872.28	69.63   	-87.65  
12043.30	69.50   	-87.69  
12216.77	69.37   	-87.72  
12392.75	69.24   	-87.75  
12571.26	69.11   	-87.78  
12752.35	68.98   	-87.81  
12936.04	68.85   	-87.85  
13122.37	68.71   	-87.88  
13311.40	68.58   	-87.91  
13503.14	68.45   	-87.94  
13697.65	68.31   	-87.97  
13894.95	68.18   	-87.99  
14095.11	68.05   	-88.02  
14298.14	67.91   	-88.05  
14504.10	67.78   	-88.08  
14713.02	67.64   	-88.11  
14924.96	67.50   	-88.13  
15139.94	67.37   	-88.16  
15358.03	67.23   	-88.19  
15579.25	67.09   	-88.21  
15803.66	66.96   	-88.24  
16031.31	66.82   	-88.26  
16262.23	66.68   	-88.29  
16496.48	66.54   	-88.31  
16734.10	66.40   	-88.33  
16975.15	66.26   	-88.36  
17219.67	66.12   	-88.38  
17467.71	65.98   	-88.40  
17719.33	65.83   	-88.43  
17974.56	65.69   	-88.45  
18233.48	65.54   	-88.47  
18496.12	65.40   	-88.49  
18762.55	65.25   	-88.51  
19032.82	65.10   	-88.54  
19306.98	64.95   	-88.56  
19585.09	64.80   	-88.58  
19867.20	64.65   	-88.60  
20000.00	64.58   	-88.61  
